"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.775516667E0,-1.861079865E0,-9.367370453E0,-1.839973755E0,9.726086103E0
9.785538667E0,-1.721569977E0,-9.399403839E0,-1.456321564E0,9.666098914E0
9.795560667E0,-1.565444641E0,-9.445358276E0,-1.154399414E0,9.643549549E0
9.805583667E0,-1.395997009E0,-9.487869873E0,-1.018931122E0,9.643998290E0
9.815605667E0,-1.232536926E0,-9.530531158E0,-1.020128632E0,9.663893308E0
9.825628667E0,-1.090332642E0,-9.610764313E0,-1.103056183E0,9.735109084E0
9.835650667E0,-1.013242950E0,-9.730215912E0,-1.178499298E0,9.853558929E0
9.845673667E0,-9.454339600E-1,-9.842183075E0,-1.234183502E0,9.964217078E0
9.855695667E0,-8.681945801E-1,-9.867779846E0,-1.277892609E0,9.987985304E0
9.865717667E0,-8.117619324E-1,-9.817334747E0,-1.318907318E0,9.938739130E0
9.875740667E0,-7.559280396E-1,-9.751771088E0,-1.434467010E0,9.885654361E0
9.885762667E0,-7.457492065E-1,-9.692494354E0,-1.604962463E0,9.852740390E0
9.895785667E0,-7.749385071E-1,-9.656269684E0,-1.723515930E0,9.839440078E0
9.905807667E0,-8.306227112E-1,-9.677974548E0,-1.883982239E0,9.894569951E0
9.915829667E0,-9.180409241E-1,-9.709558868E0,-1.981279907E0,9.952075293E0
9.925852667E0,-1.007405090E0,-9.708211670E0,-1.856140137E0,9.935265223E0
9.935874667E0,-1.058598633E0,-9.696386261E0,-1.623823242E0,9.888242488E0
9.945897667E0,-1.069076843E0,-9.639055481E0,-1.426832886E0,9.802559255E0
9.955919667E0,-1.070124664E0,-9.549841003E0,-1.320404205E0,9.699901920E0
9.965942667E0,-1.032852173E0,-9.549092560E0,-1.356479187E0,9.700102479E0
9.975964667E0,-9.891430664E-1,-9.558223572E0,-1.393152924E0,9.709733103E0
9.985986667E0,-9.840536499E-1,-9.540560303E0,-1.347797241E0,9.685412220E0
9.996009667E0,-9.955796814E-1,-9.557475128E0,-1.328188019E0,9.700546023E0
1.000603167E1,-1.016087036E0,-9.587113495E0,-1.252744904E0,9.721859278E0
1.001605467E1,-1.013392639E0,-9.655371552E0,-1.338815918E0,9.800285328E0
1.002607667E1,-1.016087036E0,-9.782157898E0,-1.506018219E0,9.949428973E0
1.003609967E1,-1.101708984E0,-9.841135254E0,-1.517544250E0,1.001821573E1
1.004612167E1,-1.232387238E0,-9.807754669E0,-1.444047089E0,9.989799895E0
1.005614367E1,-1.329235840E0,-9.717192993E0,-1.479074249E0,9.918587007E0
