"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.185857167E0,1.241548187E1,-1.083297272E0,6.123615875E0,1.388583431E1
2.195878167E0,1.258253448E1,-1.341061249E0,6.208938446E0,1.409501813E1
2.205900167E0,1.261292130E1,-1.402882690E0,6.074068909E0,1.406940569E1
2.215921167E0,1.229692841E1,-1.419647827E0,5.882018280E0,1.370503510E1
2.225942167E0,1.161374908E1,-1.283281403E0,5.648503876E0,1.297811909E1
2.235964167E0,1.069795349E1,-9.475296021E-1,5.204377441E0,1.193438586E1
2.245985167E0,9.770033112E0,-5.911207581E-1,4.668940887E0,1.084444465E1
2.256007167E0,8.840017090E0,-1.929487610E-1,4.041595459E0,9.722017549E0
2.266028167E0,7.936046906E0,1.615141296E-1,3.482208710E0,8.667912367E0
2.276050167E0,7.206164703E0,4.808001709E-1,3.006348267E0,7.822921988E0
2.286071167E0,6.692433014E0,7.470964050E-1,2.519261169E0,7.189818463E0
2.296092167E0,6.376739502E0,1.051114197E0,2.110461273E0,6.798653875E0
2.306114167E0,6.227799225E0,1.356179810E0,1.839375000E0,6.633853123E0
2.316135167E0,6.306834869E0,1.622026978E0,1.614542542E0,6.709238795E0
2.326157167E0,6.566694489E0,1.715881805E0,1.392105103E0,6.928469058E0
2.336178167E0,6.977590027E0,1.755399628E0,1.300345917E0,7.311572330E0
2.346199917E0,7.472760315E0,1.735191650E0,1.618733826E0,7.840493351E0
2.356220917E0,7.996371460E0,1.607357483E0,2.355052643E0,8.489512798E0
2.366241917E0,8.420289917E0,1.439556427E0,2.952310638E0,9.038237831E0
2.376263917E0,8.746611328E0,1.247356110E0,3.264411621E0,9.418890074E0
2.386284917E0,8.937314758E0,1.096469879E0,3.423081665E0,9.633033238E0
2.396306917E0,8.956923981E0,9.743238831E-1,3.570824432E0,9.691572698E0
2.406327917E0,8.856931915E0,9.304650879E-1,3.686533813E0,9.638544485E0
2.416349917E0,8.847651215E0,8.857081604E-1,3.849993896E0,9.689575015E0
2.426370917E0,8.983718262E0,8.146060181E-1,4.194277954E0,9.948002027E0
2.436391917E0,9.166637878E0,7.917036438E-1,4.727618866E0,1.034429431E1
2.446413917E0,9.311985626E0,6.387217712E-1,5.010081482E0,1.059348660E1
2.456434917E0,9.303153992E0,3.516188049E-1,5.031486969E0,1.058244637E1
2.466456917E0,9.085057526E0,1.695973206E-1,4.952900391E0,1.034882872E1
2.476477917E0,8.902586975E0,5.209167480E-2,4.783901825E0,1.010665548E1
2.486499917E0,8.667126617E0,-1.278341675E-1,4.833748169E0,9.924744165E0
2.496520917E0,8.258177032E0,-2.447410583E-1,5.078638916E0,9.697935828E0
2.506542917E0,7.835306396E0,-2.029779053E-1,5.008135529E0,9.301325058E0
2.516563917E0,7.536527710E0,-4.385879517E-2,4.832400970E0,8.952836012E0
2.526584917E0,7.332052917E0,1.118174744E-1,4.730762329E0,8.726489291E0
2.536606917E0,7.169640656E0,2.887495422E-1,4.590204620E0,8.518045661E0
2.546627917E0,7.021299133E0,4.083508301E-1,4.428840179E0,8.311438940E0
2.556649917E0,6.839427338E0,5.312452698E-1,4.398603058E0,8.149091772E0
2.566670917E0,6.795718231E0,7.652087402E-1,4.603676605E0,8.243856439E0
2.576692917E0,6.997648315E0,9.500743103E-1,4.878954163E0,8.583351144E0
2.586713917E0,7.352859650E0,1.054557037E0,4.987328796E0,8.947071258E0
2.596735917E0,7.708220673E0,1.110091553E0,5.207969971E0,9.368666949E0
2.606756917E0,7.912845154E0,1.002016296E0,5.249433746E0,9.548492538E0
2.616778917E0,8.023914185E0,8.713380432E-1,4.961732025E0,9.474239469E0
2.626799917E0,8.229586487E0,8.749305725E-1,4.743635559E0,9.539060518E0
2.636820917E0,8.429720306E0,9.355545044E-1,4.782554626E0,9.736954115E0
2.646842917E0,8.446934509E0,1.066232758E0,4.819677429E0,9.783498629E0
2.656863917E0,8.292156372E0,1.285676422E0,4.520449677E0,9.531384288E0
2.666885917E0,8.128247223E0,1.479523315E0,4.454886017E0,9.386341224E0
2.676906917E0,7.880961456E0,1.600471802E0,4.548291779E0,9.238940500E0
2.686928917E0,7.579638062E0,1.731898499E0,4.644990692E0,9.056838526E0
2.696949917E0,7.349267120E0,1.626367950E0,4.984335022E0,9.027756949E0
2.706971917E0,7.250622253E0,1.488354950E0,5.293442230E0,9.099849129E0
2.716992917E0,7.259603577E0,1.235680389E0,5.702840881E0,9.314029431E0
2.727014917E0,7.324418793E0,9.903405762E-1,6.252497864E0,9.680992441E0
2.737035917E0,7.401807861E0,8.017327881E-1,6.604116669E0,9.952079785E0
2.747056917E0,7.507937164E0,7.189549255E-1,6.817423096E0,1.016677305E1
2.757078917E0,7.694598999E0,7.180567932E-1,6.828799438E0,1.031285417E1
2.767099917E0,8.027357025E0,8.449928284E-1,6.596632233E0,1.042439593E1
2.777121917E0,8.374185791E0,1.054706726E0,5.989943848E0,1.034982228E1
2.787142917E0,8.734486542E0,1.297202454E0,5.688620453E0,1.050401790E1
2.797164917E0,9.032067719E0,1.600172424E0,5.665269012E0,1.078119066E1
2.807185917E0,9.387129364E0,1.903441772E0,5.767207031E0,1.118042777E1
2.817207917E0,9.826016693E0,2.228565674E0,6.011349335E0,1.173257985E1
2.827228917E0,1.009874954E1,2.634521484E0,6.208938446E0,1.214398462E1
2.837250917E0,1.011072464E1,3.152444458E0,6.370751953E0,1.235925318E1
2.847271917E0,9.953701172E0,3.686533813E0,6.576124878E0,1.248647737E1
2.857293917E0,9.782457275E0,4.054468689E0,6.884333954E0,1.263048854E1
2.867314917E0,9.728120270E0,3.809577942E0,7.122039642E0,1.264407595E1
2.877335917E0,1.008797195E1,2.753074951E0,7.115004272E0,1.264792021E1
2.887357917E0,1.080258591E1,1.966460724E0,7.429200897E0,1.325729445E1
2.897378917E0,1.162767014E1,1.670376434E0,7.197931824E0,1.377690432E1
2.907400917E0,1.236413864E1,1.344953156E0,6.336323547E0,1.395814527E1
2.917421917E0,1.327230011E1,1.045426025E0,5.387297058E0,1.436209718E1
2.927443917E0,1.435170547E1,8.372090149E-1,4.882696381E0,1.518265764E1
2.937464917E0,1.519265671E1,6.628216553E-1,5.243895264E0,1.608585055E1
2.947486917E0,1.523352173E1,5.056484985E-1,5.430407410E0,1.618039521E1
2.957507917E0,1.390488464E1,3.498225403E-1,4.874164124E0,1.473857757E1
2.967529917E0,1.142499161E1,3.712280273E-1,3.485950928E0,1.195073627E1
2.977550917E0,9.244925079E0,3.510200500E-1,2.280208282E0,9.528441877E0
2.987571917E0,7.425159302E0,1.947450256E-1,1.558259583E0,7.589406380E0
