"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.671772338E1,-5.812413025E-1,-1.904489594E0,-2.705279343E1,2.712597564E1
1.672774438E1,-1.062789917E-2,-1.496288452E0,-2.811693054E1,2.815671812E1
1.673776638E1,1.056053925E0,-1.169817352E0,-2.875071259E1,2.879387429E1
1.674778738E1,2.849474487E0,-6.463558960E-1,-2.897614380E1,2.912308689E1
1.675780938E1,5.548661499E0,-3.245251465E-1,-3.002471329E1,3.053483861E1
1.676783037E1,8.338110809E0,-5.239105225E-3,-2.986604324E1,3.100813858E1
1.677785238E1,1.141825562E1,1.224453735E-1,-2.593985779E1,2.834197905E1
1.678787338E1,1.803374863E1,1.133143616E-1,-1.499042725E1,2.345083876E1
1.679789538E1,2.818114700E1,1.523681488E0,-2.283800812E0,2.831456159E1
1.680791638E1,3.813574631E1,3.973487091E0,8.318501587E0,3.923418426E1
1.681793838E1,4.426415222E1,6.317762146E0,1.756148071E1,4.803784857E1
1.682795938E1,4.275394272E1,5.621410217E0,2.722598328E1,5.099758853E1
1.683798138E1,3.098736145E1,2.657124481E0,2.647155212E1,4.084139998E1
1.684800238E1,1.881063309E1,5.854325867E-1,1.558005112E1,2.443195942E1
1.685802338E1,1.079495178E1,-6.809339905E-1,8.769064636E0,1.392448023E1
1.686804538E1,7.191495209E0,-4.662803650E-1,5.502856750E0,9.067328886E0
1.687806638E1,4.745282135E0,-6.381230164E-1,2.907254333E0,5.601520444E0
1.688808838E1,1.754202118E0,-6.435118103E-1,5.468128967E-1,1.946878749E0
1.689810938E1,-3.058140564E-1,-4.171824646E-1,-1.531315613E-1,5.394559490E-1
1.690813138E1,-6.204597473E-1,-1.929487610E-1,-6.039939880E-1,8.871348601E-1
1.691815238E1,-5.471122742E-1,-1.435514832E-1,-4.574487305E-1,7.274601088E-1
1.692817438E1,-4.933740234E-1,-1.240919495E-1,-1.251397705E-1,5.239052406E-1
1.693819538E1,-3.427871704E-1,-9.550140381E-2,7.319778442E-1,8.138888909E-1
1.694821738E1,-2.903961182E-2,4.385879517E-2,2.215842133E0,2.216466388E0
1.695823838E1,1.892065430E-1,4.849914551E-2,3.659140778E0,3.664350217E0
1.696826038E1,3.532653809E-2,-1.806742859E-1,4.302353210E0,4.306290087E0
1.697828138E1,-1.058299255E0,-4.403842163E-1,3.952231293E0,4.115102400E0
1.698830338E1,-2.818339233E0,-8.647517395E-1,3.611988831E-1,2.970066706E0
1.699832438E1,-4.381688232E0,-1.067130890E0,-1.029813492E1,1.124231039E1
1.700834638E1,-6.248605957E0,-9.054670715E-1,-1.594738724E1,1.715179602E1
1.701836738E1,-7.621550903E0,-7.023394775E-1,-1.858969254E1,2.010368094E1
1.702838938E1,-8.894803162E0,1.642085266E-1,-2.249267624E1,2.418811634E1
1.703841038E1,-9.044791260E0,1.821711731E-1,-2.446422638E1,2.608332432E1
1.704843238E1,-7.662565613E0,-4.490661621E-3,-2.143347885E1,2.276200667E1
1.705845338E1,-6.582262115E0,-1.152603149E-2,-1.617162094E1,1.745988635E1
1.706847538E1,-6.016438751E0,-3.603007507E-1,-1.097233292E1,1.251876358E1
1.707849638E1,-5.720504150E0,-5.336402893E-1,-7.896379395E0,9.765333954E0
1.708851838E1,-5.274731140E0,-7.837701416E-1,-5.346132660E0,7.551040899E0
1.709853938E1,-4.938230896E0,-8.159532166E-1,-3.468287659E0,6.089410753E0
1.710855838E1,-4.732408905E0,-7.475454712E-1,-2.257156219E0,5.296156387E0
1.711857938E1,-4.588558044E0,-7.692503357E-1,-1.607058105E0,4.922321278E0
1.712860138E1,-4.469106445E0,-7.726931763E-1,-1.250948639E0,4.704767758E0
1.713862238E1,-4.325854340E0,-7.232958984E-1,-7.635621643E-1,4.451875998E0
1.714864338E1,-4.279001770E0,-7.527845764E-1,-3.082090759E-1,4.355632400E0
1.715866538E1,-4.299209747E0,-7.809260559E-1,-8.681945801E-3,4.369568094E0
1.716868638E1,-4.261637878E0,-6.486012268E-1,4.670288086E-2,4.310965335E0
1.717870838E1,-4.268673248E0,-3.710783386E-1,6.978488159E-1,4.341228329E0
1.718872938E1,-4.283193054E0,-7.005432129E-2,2.369572449E0,4.895459523E0
1.719875138E1,-4.290677490E0,3.016227722E-1,4.886737976E0,6.510076625E0
1.720877238E1,-4.905299377E0,6.756948853E-1,8.198451233E0,9.577741288E0
1.721879438E1,-8.380173340E0,1.089733887E0,1.621877289E1,1.828834107E1
1.722881538E1,-9.739496613E0,2.447410583E-1,1.233315308E1,1.571700853E1
1.723883738E1,-6.618935852E0,1.411564636E-1,1.982776794E0,6.910979726E0
1.724885838E1,-4.611011353E0,5.477110291E-1,3.626957703E-1,4.657570320E0
1.725888038E1,-3.481011200E0,8.060737610E-1,8.702902222E-1,3.677580584E0
1.726890138E1,-2.626887360E0,8.885522461E-1,1.249900818E0,3.041761718E0
1.727892338E1,-1.958527222E0,7.188052368E-1,1.466799774E0,2.550296340E0
1.728894438E1,-1.496438141E0,4.888833618E-1,1.382075958E0,2.094867061E0
1.729896638E1,-1.225052490E0,2.752775574E-1,1.142274628E0,1.697445923E0
1.730898737E1,-1.038690033E0,1.209484863E-1,8.599617004E-1,1.353897946E0
1.731900938E1,-8.912466431E-1,-1.496887207E-4,6.206094360E-1,1.086037142E0
1.732903038E1,-7.658074951E-1,-6.930587769E-2,4.845423889E-1,9.088705909E-1
1.733905238E1,-7.042854309E-1,-8.771759033E-2,4.200265503E-1,8.247027627E-1
1.734907338E1,-6.150709534E-1,-1.207987976E-1,4.156855774E-1,7.521297271E-1
1.735909538E1,-4.923262024E-1,-1.845661926E-1,3.661386108E-1,6.407083981E-1
1.736911638E1,-4.360432434E-1,-2.131567383E-1,2.915936279E-1,5.662122827E-1
1.737913838E1,-4.370910645E-1,-2.498304749E-1,1.709445190E-1,5.316821357E-1
1.738915938E1,-4.709207153E-1,-3.144960022E-1,3.682342529E-2,5.674768896E-1
1.739918038E1,-5.231620789E-1,-3.736230469E-1,-1.312770081E-1,6.561451019E-1
1.740920238E1,-5.890251160E-1,-4.119433594E-1,-2.960842896E-1,7.773762442E-1
1.741922338E1,-6.486012268E-1,-4.510121155E-1,-4.806504822E-1,9.247271845E-1
1.742924538E1,-6.270460510E-1,-4.415817261E-1,-6.914122009E-1,1.032585107E0
1.743926638E1,-5.798941040E-1,-3.519181824E-1,-8.099656677E-1,1.056488505E0
1.744928838E1,-5.300477600E-1,-1.703457642E-1,-8.331674194E-1,1.002065994E0
1.745930938E1,-5.734574890E-1,-9.624984741E-2,-8.280780029E-1,1.011845198E0
1.746933138E1,-8.228388977E-1,-1.291813660E-1,-9.520202637E-1,1.264948323E0
1.747935238E1,-1.560804291E0,-3.053649902E-1,-1.914967804E0,2.489268869E0
1.748937437E1,-3.110980682E0,-1.022224274E0,-6.846762085E0,7.589551655E0
1.749939538E1,-4.018543396E0,-2.253414001E0,-2.601754623E1,2.642232537E1
1.750941738E1,1.394649811E0,-3.275039520E0,-4.759487595E1,4.772780268E1
1.751943838E1,3.037962524E1,-9.868079224E0,-4.279226303E1,5.339923588E1
1.752946038E1,7.784307449E1,-9.093140717E0,-1.131586853E1,7.918508910E1
1.753948138E1,7.933157913E1,7.162904663E0,-2.402953033E0,7.969053165E1
1.754950338E1,7.845560074E1,1.771536072E1,7.949069824E0,8.082266392E1
1.755952438E1,7.864630417E1,1.173185349E1,6.298901367E-1,7.951901852E1
1.756954638E1,6.269098343E1,1.117725677E0,5.676196289E-1,6.270351590E1
1.757956738E1,3.110756149E1,-9.160949707E-1,4.974605255E0,3.151612777E1
1.758958938E1,1.081351318E1,-6.825805664E-1,1.746448242E1,2.055252125E1
1.759961038E1,-1.247206421E0,-1.072369995E0,3.090832581E1,3.095206141E1
1.760963238E1,-3.694167938E0,-5.394781494E-1,1.994736923E1,2.029372939E1
1.761965338E1,-2.420167236E0,-2.779719543E-1,1.533381317E1,1.552611684E1
1.762967538E1,-2.043999481E0,-1.157692566E0,1.196147598E1,1.218995872E1
