"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.783249166E-1,-5.505551147E-1,4.296814728E0,9.336684265E0,1.029268676E1
8.883469166E-1,-7.890092468E-1,4.246818695E0,9.501641235E0,1.043739387E1
8.983679166E-1,-9.880952454E-1,4.164639587E0,9.691296844E0,1.059442257E1
9.083899166E-1,-1.198258209E0,4.018393707E0,9.938582611E0,1.078697061E1
9.184119166E-1,-1.461261292E0,3.747008057E0,1.033660492E1,1.109147218E1
9.284329166E-1,-1.675465851E0,3.462898865E0,1.072774155E1,1.139663516E1
9.384549166E-1,-1.727258148E0,3.257226562E0,1.104807541E1,1.164701317E1
9.484759167E-1,-1.657652893E0,3.057092743E0,1.111753098E1,1.164873917E1
9.584979166E-1,-1.472487946E0,2.960693207E0,1.083282303E1,1.132625180E1
9.685189167E-1,-1.225800934E0,2.816243591E0,1.056473053E1,1.100215193E1
9.785409167E-1,-9.984237671E-1,2.664608917E0,1.032013916E1,1.070524465E1
9.885619167E-1,-8.553213501E-1,2.609074402E0,1.010922775E1,1.047546322E1
9.985839167E-1,-8.243357849E-1,2.745740204E0,1.005369324E1,1.045444243E1
1.008605917E0,-9.523196411E-1,2.911894684E0,1.019589752E1,1.064623735E1
1.018626917E0,-1.106948090E0,3.064577179E0,1.035980667E1,1.086013635E1
1.028648917E0,-1.204545135E0,3.192561035E0,1.037537430E1,1.092207704E1
1.038669917E0,-1.314266968E0,3.285368042E0,1.022957748E1,1.082428734E1
1.048691917E0,-1.322200470E0,3.380570068E0,9.963430939E0,1.060407583E1
1.058712917E0,-1.319057007E0,3.488196259E0,9.609117737E0,1.030740356E1
1.068734917E0,-1.359622650E0,3.490890656E0,9.282496948E0,1.000997707E1
1.078755917E0,-1.313219147E0,3.518732758E0,8.980125732E0,9.733893513E0
1.088777917E0,-1.283131714E0,3.537294159E0,8.752898254E0,9.527439573E0
1.098799917E0,-1.270108795E0,3.466491394E0,8.556057587E0,9.318576091E0
1.108820917E0,-1.199455719E0,3.400179291E0,8.354875946E0,9.099662923E0
1.118842917E0,-1.108444977E0,3.322640533E0,8.276289368E0,8.986965899E0
1.128863917E0,-1.013093262E0,3.179987183E0,8.196505280E0,8.849936454E0
1.138885917E0,-9.427395630E-1,3.058140564E0,8.116272125E0,8.724382775E0
1.148906917E0,-8.846603394E-1,3.000809784E0,7.997419281E0,8.587560680E0
1.158928917E0,-8.828640747E-1,2.939437408E0,7.898325348E0,8.473681877E0
1.168949917E0,-8.910969543E-1,2.920726318E0,7.919132080E0,8.487481895E0
1.178971917E0,-8.620573425E-1,2.912942505E0,7.965685272E0,8.525287019E0
1.188993917E0,-8.409512329E-1,2.868934021E0,8.022716675E0,8.561656629E0
1.199014917E0,-8.289761353E-1,2.845732269E0,8.190517731E0,8.710337208E0
1.209036917E0,-8.144563293E-1,2.941083984E0,8.295150146E0,8.838712014E0
1.219057917E0,-8.378077698E-1,3.108735352E0,8.227041779E0,8.834612259E0
1.229079917E0,-8.837622070E-1,3.307521973E0,8.160879364E0,8.849897696E0
1.239100917E0,-9.514215088E-1,3.472928009E0,8.090076599E0,8.855267993E0
